ApparentElevation,AttenuationdB,density
27.399999999999935,1.286942128048876,12.5
27.599999999999934,1.2783609939184386,12.5
27.799999999999933,1.2699087469648453,12.5
27.999999999999932,1.261582649785261,12.5
28.199999999999932,1.253380042361781,12.5
28.39999999999993,1.2452983393533066,12.5
28.59999999999993,1.2373350274917887,12.5
28.79999999999993,1.2294876631013532,12.5
28.99999999999993,1.2217538697174566,12.5
29.19999999999993,1.2141313357848513,12.5
29.399999999999928,1.2066178124816578,12.5
29.599999999999927,1.1992111115921695,12.5
29.799999999999926,1.1919091034983693,12.5
29.999999999999925,1.1847097152368575,12.5
30.199999999999925,1.1776109286237946,12.5
30.399999999999924,1.1706107784728936,12.5
30.599999999999923,1.1637073508718507,12.5
30.799999999999923,1.1568987815162681,12.5
30.999999999999922,1.1501832541377937,12.5
31.19999999999992,1.143558998951294,12.5
